mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_metric,param_n_neighbors,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.007405805587768555,0.0027555859332805714,1.3714658737182617,0.04163981664386039,manhattan,13,uniform,"{'metric': 'manhattan', 'n_neighbors': 13, 'weights': 'uniform'}",0.38010204081632654,0.4247104247104247,0.3906633906633907,0.38451935081148564,0.3804755944931164,0.39209416029894884,0.01674543248620741,15
0.007644844055175781,0.001987650714510396,1.3808783531188964,0.0361842640690392,manhattan,13,distance,"{'metric': 'manhattan', 'n_neighbors': 13, 'weights': 'distance'}",0.38010204081632654,0.4247104247104247,0.3906633906633907,0.38451935081148564,0.3804755944931164,0.39209416029894884,0.01674543248620741,15
0.008138418197631836,0.0016833984266109493,0.24525132179260253,0.00373951821282484,euclidean,5,distance,"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'distance'}",0.3830734966592428,0.4258639910813824,0.38695163104611924,0.3807390817469205,0.34945054945054943,0.3852157499968428,0.02432723644141683,17
0.010174179077148437,0.0016368161363889795,0.44472403526306153,0.03642198961467671,euclidean,5,uniform,"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}",0.3830734966592428,0.4258639910813824,0.38695163104611924,0.3807390817469205,0.34945054945054943,0.3852157499968428,0.02432723644141683,17
0.006560277938842773,0.0004075609620058409,0.3204969882965088,0.006960293088096374,euclidean,7,distance,"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'distance'}",0.3485576923076923,0.4167636786961583,0.3872491145218418,0.36919592298980747,0.351288056206089,0.37461089294431776,0.025253228973031356,19
0.006608152389526367,0.0008983397759677756,0.49111075401306153,0.034262180286361445,euclidean,7,uniform,"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'uniform'}",0.3485576923076923,0.4167636786961583,0.3872491145218418,0.36919592298980747,0.351288056206089,0.37461089294431776,0.025253228973031356,19
0.009291458129882812,0.005259150649453277,0.5011245250701905,0.025816916878057577,euclidean,9,uniform,"{'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'uniform'}",0.3480392156862745,0.4,0.40097205346294046,0.3507917174177832,0.3632019115890084,0.3726009796312013,0.02333619846494946,21
0.0067535400390625,0.0009938875851940516,0.30247817039489744,0.010534559211942773,euclidean,9,distance,"{'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'distance'}",0.3480392156862745,0.4,0.40097205346294046,0.3507917174177832,0.3632019115890084,0.3726009796312013,0.02333619846494946,21
0.008391761779785156,0.0017773859718261634,0.25804986953735354,0.006907277195918186,euclidean,11,distance,"{'metric': 'euclidean', 'n_neighbors': 11, 'weights': 'distance'}",0.33585858585858586,0.4004944375772559,0.37844611528822053,0.3379224030037547,0.3333333333333333,0.35721097501223004,0.02728554422766595,23
0.011618804931640626,0.00945983538804117,0.4447646141052246,0.006584107870374123,euclidean,11,uniform,"{'metric': 'euclidean', 'n_neighbors': 11, 'weights': 'uniform'}",0.33585858585858586,0.4004944375772559,0.37844611528822053,0.3379224030037547,0.3333333333333333,0.35721097501223004,0.02728554422766595,23
0.006560182571411133,0.00036741906179991145,0.445477819442749,0.0128499543493915,euclidean,13,uniform,"{'metric': 'euclidean', 'n_neighbors': 13, 'weights': 'uniform'}",0.3342036553524804,0.37662337662337664,0.3320363164721141,0.3281653746770026,0.35398230088495575,0.3450022048019859,0.0181589780112811,25
0.00674128532409668,0.0006923303613840578,0.26593518257141113,0.007965591561067584,euclidean,13,distance,"{'metric': 'euclidean', 'n_neighbors': 13, 'weights': 'distance'}",0.3342036553524804,0.37662337662337664,0.3320363164721141,0.3281653746770026,0.35398230088495575,0.3450022048019859,0.0181589780112811,25
0.006466865539550781,0.0008883459108574655,0.5099467277526856,0.006723246012179064,euclidean,15,uniform,"{'metric': 'euclidean', 'n_neighbors': 15, 'weights': 'uniform'}",0.3203230148048452,0.3829236739974127,0.3569553805774278,0.3263157894736842,0.3164721141374838,0.3405979945981708,0.025519175180725703,27
0.006583738327026367,0.00011224947241301968,0.33574519157409666,0.0075432250767271,euclidean,15,distance,"{'metric': 'euclidean', 'n_neighbors': 15, 'weights': 'distance'}",0.3203230148048452,0.3829236739974127,0.3569553805774278,0.3263157894736842,0.3164721141374838,0.3405979945981708,0.025519175180725703,27
