mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_class_weight,param_criterion,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_splitter,params,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy
0.050569581985473636,0.0020805205448453526,0.007602977752685547,0.00025149068906459834,,gini,,,6,10,random,"{'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 6, 'min_samples_split': 10, 'splitter': 'random'}",0.5350701402805611,0.5187436676798379,0.5463709677419355,0.5277777777777778,0.5,0.5255925106960224,0.01567308767509161,1464,0.7840856212191717,0.7789669613773849,0.7906002791996277,0.7785016286644951,0.7700186219739292,0.7804346224869217,0.006797851558840067,630
0.5249711990356445,0.006512743277311739,0.007905960083007812,0.0007931861564089105,,gini,,,6,20,best,"{'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 6, 'min_samples_split': 20, 'splitter': 'best'}",0.5899419729206963,0.5182186234817814,0.5582290664100096,0.5845845845845846,0.5549019607843138,0.5611752416362771,0.025568837323758347,737,0.8026989297347603,0.7785016286644951,0.7864122847836202,0.8068869241507678,0.7886405959031657,0.7926280726473619,0.010571938496081026,383
0.04744248390197754,0.0022603566255759992,0.007726001739501953,0.00027626359832873357,,gini,,,6,20,random,"{'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 6, 'min_samples_split': 20, 'splitter': 'random'}",0.5336048879837068,0.5294725956566702,0.5620512820512821,0.5100105374077977,0.5654761904761905,0.5401230987151294,0.020910815963486463,1213,0.78687761749651,0.7882736156351792,0.8013029315960912,0.783620288506282,0.7960893854748603,0.7912327677417845,0.006491050620935118,417
0.5259999752044677,0.014239183158437906,0.007782840728759765,0.0003419942650410709,,gini,,,6,30,best,"{'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 6, 'min_samples_split': 30, 'splitter': 'best'}",0.5878848063555114,0.5118191161356629,0.583969465648855,0.5897435897435898,0.5669291338582677,0.5680692223483773,0.029259622551385575,581,0.8068869241507678,0.7789669613773849,0.7971149371800837,0.8064215914378781,0.7951582867783985,0.7969097401849027,0.010149606103932727,287
0.04458298683166504,0.0006677446925420334,0.007652425765991211,0.0003661550725109098,,gini,,,6,30,random,"{'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 6, 'min_samples_split': 30, 'splitter': 'random'}",0.5576131687242798,0.5501551189245087,0.5364891518737672,0.539651837524178,0.5495867768595041,0.5466992107812476,0.0076590676932889274,1057,0.799906933457422,0.7975802698929735,0.7812936249418334,0.7785016286644951,0.7970204841713222,0.7908605882256092,0.009046606764220859,423
0.5221528530120849,0.010588212172496426,0.007218408584594727,0.00015612870461586273,,gini,,,6,40,best,"{'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 6, 'min_samples_split': 40, 'splitter': 'best'}",0.5867195242814668,0.5057232049947971,0.5824493731918997,0.5714285714285714,0.5699693564862104,0.563258006076589,0.02946457230724909,686,0.8059562587249883,0.7789669613773849,0.798510935318753,0.8059562587249883,0.8040037243947858,0.79867882770818,0.010226068562545397,254
0.0463158130645752,0.0028650922152627578,0.009146404266357423,0.0037267776843300827,,gini,,,6,40,random,"{'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 6, 'min_samples_split': 40, 'splitter': 'random'}",0.5334773218142549,0.5639476334340383,0.5669781931464174,0.55,0.5524193548387096,0.5533645006466841,0.011874749430492888,906,0.7989762680316427,0.798510935318753,0.8059562587249883,0.7989762680316427,0.7932960893854749,0.7991431638985003,0.004026461546156543,242
0.5055522441864013,0.01341884772898944,0.007621955871582031,0.0005682956454206302,,gini,,,6,50,best,"{'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 6, 'min_samples_split': 50, 'splitter': 'best'}",0.5884652981427175,0.5390070921985816,0.6048309178743961,0.5958702064896755,0.5586708203530634,0.5773688670116868,0.024661051476248856,405,0.8040949278734295,0.7882736156351792,0.8096789204281061,0.8087482550023266,0.8021415270018621,0.8025874491881808,0.007688974732590371,176
0.04165639877319336,0.0018652501755763396,0.007151985168457031,4.766239643339242e-05,,gini,,,6,50,random,"{'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 6, 'min_samples_split': 50, 'splitter': 'random'}",0.5402542372881356,0.5665601703940362,0.5876393110435664,0.5382978723404256,0.5382978723404256,0.5542098926813179,0.019855480209406674,892,0.7980456026058632,0.8106095858538855,0.8106095858538855,0.7980456026058632,0.797951582867784,0.8030523919574563,0.006170518483372205,172
0.5057062149047852,0.013307019184553891,0.007430505752563476,0.0002666132708030206,,gini,,,8,10,best,"{'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 8, 'min_samples_split': 10, 'splitter': 'best'}",0.5851272015655578,0.5246913580246914,0.55396370582617,0.5502008032128514,0.5533596837944664,0.5534685504847473,0.019190269394362223,901,0.8026989297347603,0.7850162866449512,0.7826896230805026,0.7915309446254072,0.7895716945996276,0.7903014957370498,0.0069514683985982045,439
0.04700303077697754,0.0006355392545600109,0.0076277732849121095,0.0002999714837123074,,gini,,,8,10,random,"{'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 8, 'min_samples_split': 10, 'splitter': 'random'}",0.5402061855670103,0.5681581685744017,0.598,0.5068349106203995,0.536779324055666,0.5499957177634955,0.030879277870476396,983,0.7924616100511866,0.8068869241507678,0.8129362494183341,0.7817589576547231,0.7830540037243948,0.7954195489998812,0.012542753725436164,316
0.5064902305603027,0.012308435591767412,0.007512807846069336,0.00028538932974652234,,gini,,,8,20,best,"{'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 8, 'min_samples_split': 20, 'splitter': 'best'}",0.6017699115044248,0.5246913580246914,0.5510597302504817,0.5603960396039604,0.5614714424007744,0.5598776963568666,0.024793552902410917,772,0.811540251279665,0.7850162866449512,0.7831549557933922,0.793392275476966,0.7891061452513967,0.7924419828892741,0.010180025159620208,391
0.04732179641723633,0.0010880797169191892,0.007763051986694336,0.0006979407121748292,,gini,,,8,20,random,"{'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 8, 'min_samples_split': 20, 'splitter': 'random'}",0.5119667013527576,0.5227272727272727,0.5588822355289421,0.5182926829268293,0.5507246376811594,0.5325187060433922,0.018692931448199227,1367,0.7817589576547231,0.7850162866449512,0.7943229409027455,0.7794322940902746,0.797951582867784,0.7876964124320958,0.007208487992266239,500
0.5014565944671631,0.0099679214672351,0.0077021121978759766,0.0003566426694167269,,gini,,,8,30,best,"{'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 8, 'min_samples_split': 30, 'splitter': 'best'}",0.5983935742971888,0.5191313340227508,0.5738963531669866,0.5877632898696088,0.5719844357976653,0.5702337974308401,0.02730639834877635,534,0.8138669148441136,0.783620288506282,0.793392275476966,0.8087482550023266,0.7951582867783985,0.7989572041216173,0.01094335721403395,250
0.04433884620666504,0.0009114885354022969,0.007557582855224609,0.0006186847263071078,,gini,,,8,30,random,"{'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 8, 'min_samples_split': 30, 'splitter': 'random'}",0.5467775467775468,0.5480572597137015,0.5497076023391813,0.5372233400402414,0.5611510791366906,0.5485833656014723,0.007639362297044615,1012,0.7971149371800837,0.7943229409027455,0.7850162866449512,0.7859469520707306,0.8012104283054003,0.7927223090207822,0.006311792395425782,379
0.49542803764343263,0.014462035209360822,0.007399940490722656,0.00015920353801562767,,gini,,,8,40,best,"{'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 8, 'min_samples_split': 40, 'splitter': 'best'}",0.5885885885885885,0.5084388185654009,0.5941747572815534,0.5731958762886598,0.5757884028484231,0.5680372887145252,0.03080321940901262,583,0.8087482550023266,0.7831549557933922,0.8054909260120986,0.8073522568636575,0.8058659217877095,0.8021224630918369,0.009553828760306719,188
