mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_splitter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.05903735160827637,0.0026362044243737463,0.008535623550415039,0.0010941644392724603,gini,15,,6,40,random,"{'criterion': 'gini', 'max_depth': 15, 'max_features': None, 'min_samples_leaf': 6, 'min_samples_split': 40, 'splitter': 'random'}",0.543046357615894,0.558288770053476,0.5561172901921132,0.579624134520277,0.5705458290422245,0.5615244762847968,0.01257084531456421,61
0.058942556381225586,0.004349442122348846,0.009962987899780274,0.001250631126983038,entropy,15,,4,40,random,"{'criterion': 'entropy', 'max_depth': 15, 'max_features': None, 'min_samples_leaf': 4, 'min_samples_split': 40, 'splitter': 'random'}",0.5272331154684096,0.582441113490364,0.5576923076923077,0.5789473684210527,0.5607476635514018,0.5614123137247071,0.019658007838869004,62
0.053017187118530276,0.002038619685745667,0.008847379684448242,0.0007938028863307985,entropy,10,,2,20,random,"{'criterion': 'entropy', 'max_depth': 10, 'max_features': None, 'min_samples_leaf': 2, 'min_samples_split': 20, 'splitter': 'random'}",0.4744525547445255,0.6085192697768763,0.5733186328555678,0.5887179487179487,0.5548654244306418,0.559974766105112,0.04626219227762134,63
0.05135354995727539,0.0063092292312821804,0.009560680389404297,0.001595754779321933,gini,10,,6,30,random,"{'criterion': 'gini', 'max_depth': 10, 'max_features': None, 'min_samples_leaf': 6, 'min_samples_split': 30, 'splitter': 'random'}",0.5802469135802469,0.5618945102260495,0.5483146067415731,0.5532359081419624,0.5526881720430108,0.5592760221465685,0.011372511958243585,64
0.05911684036254883,0.0024283826738493914,0.009531879425048828,0.0016929954233495031,entropy,15,,6,20,random,"{'criterion': 'entropy', 'max_depth': 15, 'max_features': None, 'min_samples_leaf': 6, 'min_samples_split': 20, 'splitter': 'random'}",0.5547877591312932,0.592741935483871,0.5306122448979592,0.5482866043613707,0.5694849368318756,0.559182696141274,0.020912530598400574,65
0.7105768203735352,0.011621900757991105,0.008502960205078125,0.001031659545682699,entropy,15,,4,20,best,"{'criterion': 'entropy', 'max_depth': 15, 'max_features': None, 'min_samples_leaf': 4, 'min_samples_split': 20, 'splitter': 'best'}",0.5705458290422245,0.5751633986928104,0.5656565656565656,0.5310274669379451,0.5505376344086022,0.5585861789476295,0.016075381736733296,66
0.06393752098083497,0.014059477331442898,0.011814498901367187,0.003965464537590885,entropy,10,,4,30,random,"{'criterion': 'entropy', 'max_depth': 10, 'max_features': None, 'min_samples_leaf': 4, 'min_samples_split': 30, 'splitter': 'random'}",0.5492468134414832,0.5571587125416204,0.5305676855895196,0.5762004175365344,0.5734549138804458,0.5573257085979206,0.01671941464593106,67
0.2315589427947998,0.001415521592622561,0.007402944564819336,0.0003902945026079722,gini,5,,6,30,best,"{'criterion': 'gini', 'max_depth': 5, 'max_features': None, 'min_samples_leaf': 6, 'min_samples_split': 30, 'splitter': 'best'}",0.5394581861012956,0.5612472160356348,0.574052812858783,0.5393258426966292,0.5669642857142857,0.5562096686813256,0.01431846509595656,68
0.22347888946533204,0.004423363899208603,0.0074863433837890625,0.0009578574467223427,gini,5,,6,40,best,"{'criterion': 'gini', 'max_depth': 5, 'max_features': None, 'min_samples_leaf': 6, 'min_samples_split': 40, 'splitter': 'best'}",0.5394581861012956,0.5612472160356348,0.574052812858783,0.5393258426966292,0.5669642857142857,0.5562096686813256,0.01431846509595656,68
0.23858532905578614,0.0026640073984906592,0.006702804565429687,0.0007880760521332265,gini,5,,6,20,best,"{'criterion': 'gini', 'max_depth': 5, 'max_features': None, 'min_samples_leaf': 6, 'min_samples_split': 20, 'splitter': 'best'}",0.5379146919431279,0.5612472160356348,0.57307249712313,0.5393258426966292,0.568561872909699,0.5560244241416441,0.014709908169253641,70
0.26293272972106935,0.0037149976154763767,0.007691717147827149,0.0006859028064565885,gini,5,,2,30,best,"{'criterion': 'gini', 'max_depth': 5, 'max_features': None, 'min_samples_leaf': 2, 'min_samples_split': 30, 'splitter': 'best'}",0.5377358490566038,0.5612472160356348,0.570771001150748,0.5405405405405406,0.5653631284916201,0.5551315470550293,0.013432698687488667,71
